id,abr_id,name,applies_to,rule,rate,from_date,created_by,time
1,ABR-Y7UXR,Registration D2,D2,per entry,3.0,2025-12-17,ADMIN-01,2025-12-17 13:29:16.445722
2,ABR-L7QIY,Survey Drawing,PN,per quantity,100.0,2025-12-17,ADMIN-01,2025-12-17 13:30:48.905687
